time,edge_id,edge_name,flow,speed,density,queue
840,B1B0,Tây Sơn (Tây→vào),5.0,7.641,16.667,4
900,A0B0,Nguyễn Trãi (Bắc→vào),12.0,7.201,40.0,10
900,bottom1B0,Nguyễn Trãi (Nam→vào),1.0,34.234,3.333,0
900,right0B0,Trường Chinh (Đông→vào),5.0,6.719,16.667,4
900,B1B0,Tây Sơn (Tây→vào),1.0,41.324,3.333,0
960,A0B0,Nguyễn Trãi (Bắc→vào),7.0,29.877,23.333,0
960,bottom1B0,Nguyễn Trãi (Nam→vào),14.0,5.458,46.667,11
960,right0B0,Trường Chinh (Đông→vào),2.0,35.012,6.667,0
960,B1B0,Tây Sơn (Tây→vào),10.0,11.414,33.333,6
1020,A0B0,Nguyễn Trãi (Bắc→vào),20.0,8.129,66.667,13
1020,bottom1B0,Nguyễn Trãi (Nam→vào),3.0,39.704,10.0,0
1020,right0B0,Trường Chinh (Đông→vào),10.0,6.62,33.333,7
1020,B1B0,Tây Sơn (Tây→vào),3.0,44.937,10.0,0
1080,A0B0,Nguyễn Trãi (Bắc→vào),7.0,29.176,23.333,0
1080,bottom1B0,Nguyễn Trãi (Nam→vào),14.0,1.188,46.667,12
1080,right0B0,Trường Chinh (Đông→vào),2.0,33.887,6.667,0
1080,B1B0,Tây Sơn (Tây→vào),11.0,15.241,36.667,6
1140,A0B0,Nguyễn Trãi (Bắc→vào),20.0,8.018,66.667,13
1140,bottom1B0,Nguyễn Trãi (Nam→vào),5.0,26.389,16.667,0
1140,right0B0,Trường Chinh (Đông→vào),9.0,5.334,30.0,6
1140,B1B0,Tây Sơn (Tây→vào),3.0,39.146,10.0,0
1200,A0B0,Nguyễn Trãi (Bắc→vào),6.0,32.815,20.0,0
1200,bottom1B0,Nguyễn Trãi (Nam→vào),17.0,5.568,56.667,14
1200,right0B0,Trường Chinh (Đông→vào),2.0,34.707,6.667,0
1200,B1B0,Tây Sơn (Tây→vào),10.0,8.121,33.333,8
1260,A0B0,Nguyễn Trãi (Bắc→vào),18.0,6.087,60.0,13
1260,bottom1B0,Nguyễn Trãi (Nam→vào),2.0,34.909,6.667,0
1260,right0B0,Trường Chinh (Đông→vào),9.0,3.799,30.0,8
1260,B1B0,Tây Sơn (Tây→vào),4.0,33.875,13.333,0
1320,A0B0,Nguyễn Trãi (Bắc→vào),10.0,27.834,33.333,0
1320,bottom1B0,Nguyễn Trãi (Nam→vào),15.0,4.962,50.0,12
1320,right0B0,Trường Chinh (Đông→vào),2.0,44.474,6.667,0
1320,B1B0,Tây Sơn (Tây→vào),12.0,11.711,40.0,7
1380,A0B0,Nguyễn Trãi (Bắc→vào),22.0,6.603,73.333,17
1380,bottom1B0,Nguyễn Trãi (Nam→vào),4.0,25.543,13.333,1
1380,right0B0,Trường Chinh (Đông→vào),9.0,4.893,30.0,7
1380,B1B0,Tây Sơn (Tây→vào),3.0,36.959,10.0,0
1440,A0B0,Nguyễn Trãi (Bắc→vào),6.0,35.461,20.0,0
1440,bottom1B0,Nguyễn Trãi (Nam→vào),15.0,3.668,50.0,12
1440,right0B0,Trường Chinh (Đông→vào),1.0,35.964,3.333,0
1440,B1B0,Tây Sơn (Tây→vào),12.0,10.381,40.0,9
1500,A0B0,Nguyễn Trãi (Bắc→vào),18.0,7.248,60.0,13
1500,bottom1B0,Nguyễn Trãi (Nam→vào),3.0,38.65,10.0,0
1500,right0B0,Trường Chinh (Đông→vào),9.0,7.905,30.0,6
1500,B1B0,Tây Sơn (Tây→vào),3.0,35.468,10.0,0
1560,A0B0,Nguyễn Trãi (Bắc→vào),9.0,23.962,30.0,0
1560,bottom1B0,Nguyễn Trãi (Nam→vào),15.0,6.292,50.0,12
1560,right0B0,Trường Chinh (Đông→vào),3.0,26.791,10.0,0
1560,B1B0,Tây Sơn (Tây→vào),12.0,14.969,40.0,6
1620,A0B0,Nguyễn Trãi (Bắc→vào),20.0,4.774,66.667,15
1620,bottom1B0,Nguyễn Trãi (Nam→vào),2.0,31.824,6.667,0
1620,right0B0,Trường Chinh (Đông→vào),9.0,4.284,30.0,8
1620,B1B0,Tây Sơn (Tây→vào),3.0,21.727,10.0,0
1680,A0B0,Nguyễn Trãi (Bắc→vào),12.0,16.645,40.0,0
1680,bottom1B0,Nguyễn Trãi (Nam→vào),15.0,5.224,50.0,12
1680,right0B0,Trường Chinh (Đông→vào),1.0,32.945,3.333,0
1680,B1B0,Tây Sơn (Tây→vào),11.0,11.795,36.667,7
1740,A0B0,Nguyễn Trãi (Bắc→vào),25.0,9.224,83.333,14
1740,bottom1B0,Nguyễn Trãi (Nam→vào),4.0,34.09,13.333,0
1740,right0B0,Trường Chinh (Đông→vào),9.0,4.514,30.0,6
1740,B1B0,Tây Sơn (Tây→vào),5.0,31.938,16.667,0
1800,A0B0,Nguyễn Trãi (Bắc→vào),12.0,19.888,40.0,1
1800,bottom1B0,Nguyễn Trãi (Nam→vào),15.0,4.85,50.0,11
1800,right0B0,Trường Chinh (Đông→vào),2.0,24.973,6.667,0
1800,B1B0,Tây Sơn (Tây→vào),12.0,6.75,40.0,9
1860,A0B0,Nguyễn Trãi (Bắc→vào),32.0,8.163,106.667,20
1860,bottom1B0,Nguyễn Trãi (Nam→vào),7.0,25.098,23.333,1
1860,right0B0,Trường Chinh (Đông→vào),15.0,5.056,50.0,11
1860,B1B0,Tây Sơn (Tây→vào),7.0,31.005,23.333,0
1920,A0B0,Nguyễn Trãi (Bắc→vào),21.0,17.801,70.0,1
1920,bottom1B0,Nguyễn Trãi (Nam→vào),23.0,3.257,76.667,19
1920,right0B0,Trường Chinh (Đông→vào),5.0,27.155,16.667,0
1920,B1B0,Tây Sơn (Tây→vào),19.0,10.028,63.333,12
1980,A0B0,Nguyễn Trãi (Bắc→vào),38.0,6.606,126.667,25
1980,bottom1B0,Nguyễn Trãi (Nam→vào),19.0,7.303,63.333,2
1980,right0B0,Trường Chinh (Đông→vào),15.0,3.739,50.0,12
1980,B1B0,Tây Sơn (Tây→vào),6.0,27.654,20.0,0
2040,A0B0,Nguyễn Trãi (Bắc→vào),27.0,12.218,90.0,0
