time,edge_id,edge_name,flow,speed,density,queue
1080,A0B0,Nguyễn Trãi (Bắc→vào),7.0,29.354,23.333,0.0
1080,bottom1B0,Nguyễn Trãi (Nam→vào),14.0,1.197,46.667,12.0
1080,right0B0,Trường Chinh (Đông→vào),2.0,33.887,6.667,0.0
1080,B1B0,Tây Sơn (Tây→vào),11.0,15.55,36.667,6.0
1140,A0B0,Nguyễn Trãi (Bắc→vào),20.0,8.099,66.667,13.0
1140,bottom1B0,Nguyễn Trãi (Nam→vào),5.0,27.221,16.667,0.0
1140,right0B0,Trường Chinh (Đông→vào),9.0,5.13,30.0,7.0
1140,B1B0,Tây Sơn (Tây→vào),3.0,39.409,10.0,0.0
1200,A0B0,Nguyễn Trãi (Bắc→vào),6.0,33.305,20.0,0.0
1200,bottom1B0,Nguyễn Trãi (Nam→vào),17.0,4.073,56.667,14.0
1200,right0B0,Trường Chinh (Đông→vào),2.0,34.027,6.667,0.0
1200,B1B0,Tây Sơn (Tây→vào),10.0,8.003,33.333,8.0
1260,A0B0,Nguyễn Trãi (Bắc→vào),18.0,6.185,60.0,13.0
1260,bottom1B0,Nguyễn Trãi (Nam→vào),2.0,35.195,6.667,0.0
1260,right0B0,Trường Chinh (Đông→vào),9.0,3.809,30.0,8.0
1260,B1B0,Tây Sơn (Tây→vào),4.0,33.702,13.333,0.0
1320,A0B0,Nguyễn Trãi (Bắc→vào),10.0,29.611,33.333,0.0
1320,bottom1B0,Nguyễn Trãi (Nam→vào),15.0,5.137,50.0,12.0
1320,right0B0,Trường Chinh (Đông→vào),2.0,41.888,6.667,0.0
1320,B1B0,Tây Sơn (Tây→vào),12.0,11.734,40.0,7.0
1380,A0B0,Nguyễn Trãi (Bắc→vào),22.0,6.745,73.333,17.0
1380,bottom1B0,Nguyễn Trãi (Nam→vào),5.0,18.62,16.667,2.0
1380,right0B0,Trường Chinh (Đông→vào),9.0,4.867,30.0,7.0
1380,B1B0,Tây Sơn (Tây→vào),3.0,36.962,10.0,0.0
1440,A0B0,Nguyễn Trãi (Bắc→vào),6.0,35.589,20.0,0.0
1440,bottom1B0,Nguyễn Trãi (Nam→vào),16.0,3.162,53.333,14.0
1440,right0B0,Trường Chinh (Đông→vào),1.0,36.073,3.333,0.0
1440,B1B0,Tây Sơn (Tây→vào),12.0,10.615,40.0,9.0
1500,A0B0,Nguyễn Trãi (Bắc→vào),18.0,7.288,60.0,13.0
1500,bottom1B0,Nguyễn Trãi (Nam→vào),5.0,23.487,16.667,1.0
1500,right0B0,Trường Chinh (Đông→vào),9.0,8.79,30.0,6.0
1500,B1B0,Tây Sơn (Tây→vào),3.0,36.607,10.0,0.0
1560,A0B0,Nguyễn Trãi (Bắc→vào),10.0,22.687,33.333,0.0
1560,bottom1B0,Nguyễn Trãi (Nam→vào),17.0,5.367,56.667,14.0
1560,right0B0,Trường Chinh (Đông→vào),3.0,27.356,10.0,0.0
1560,B1B0,Tây Sơn (Tây→vào),12.0,15.21,40.0,6.0
1620,A0B0,Nguyễn Trãi (Bắc→vào),21.0,4.441,70.0,16.0
1620,bottom1B0,Nguyễn Trãi (Nam→vào),2.0,33.064,6.667,0.0
1620,right0B0,Trường Chinh (Đông→vào),9.0,4.3,30.0,8.0
1620,B1B0,Tây Sơn (Tây→vào),3.0,21.384,10.0,0.0
1680,A0B0,Nguyễn Trãi (Bắc→vào),11.0,17.807,36.667,0.0
1680,bottom1B0,Nguyễn Trãi (Nam→vào),15.0,4.842,50.0,12.0
1680,right0B0,Trường Chinh (Đông→vào),1.0,32.595,3.333,0.0
1680,B1B0,Tây Sơn (Tây→vào),11.0,10.809,36.667,7.0
1740,A0B0,Nguyễn Trãi (Bắc→vào),24.0,8.298,80.0,14.0
1740,bottom1B0,Nguyễn Trãi (Nam→vào),4.0,37.217,13.333,0.0
1740,right0B0,Trường Chinh (Đông→vào),9.0,4.67,30.0,6.0
1740,B1B0,Tây Sơn (Tây→vào),5.0,32.975,16.667,0.0
1800,A0B0,Nguyễn Trãi (Bắc→vào),12.0,21.71,40.0,0.0
1800,bottom1B0,Nguyễn Trãi (Nam→vào),15.0,5.236,50.0,11.0
1800,right0B0,Trường Chinh (Đông→vào),2.0,30.108,6.667,0.0
1800,B1B0,Tây Sơn (Tây→vào),12.0,8.511,40.0,9.0
1860,A0B0,Nguyễn Trãi (Bắc→vào),32.0,7.886,106.667,25.0
1860,bottom1B0,Nguyễn Trãi (Nam→vào),11.0,15.63,36.667,3.0
1860,right0B0,Trường Chinh (Đông→vào),15.0,4.846,50.0,11.0
1860,B1B0,Tây Sơn (Tây→vào),7.0,31.16,23.333,0.0
1920,A0B0,Nguyễn Trãi (Bắc→vào),20.0,18.978,66.667,0.0
1920,bottom1B0,Nguyễn Trãi (Nam→vào),27.0,2.595,90.0,23.0
1920,right0B0,Trường Chinh (Đông→vào),4.0,30.022,13.333,0.0
1920,B1B0,Tây Sơn (Tây→vào),19.0,10.058,63.333,12.0
1980,A0B0,Nguyễn Trãi (Bắc→vào),37.0,6.65,123.333,25.0
1980,bottom1B0,Nguyễn Trãi (Nam→vào),22.0,6.668,73.333,2.0
1980,right0B0,Trường Chinh (Đông→vào),14.0,4.103,46.667,10.0
1980,B1B0,Tây Sơn (Tây→vào),7.0,21.709,23.333,2.0
2040,A0B0,Nguyễn Trãi (Bắc→vào),26.0,13.181,86.667,1.0
2040,bottom1B0,Nguyễn Trãi (Nam→vào),39.0,1.147,130.0,36.0
2040,right0B0,Trường Chinh (Đông→vào),4.0,36.002,13.333,0.0
2040,B1B0,Tây Sơn (Tây→vào),19.0,10.725,63.333,13.0
2100,A0B0,Nguyễn Trãi (Bắc→vào),45.0,4.255,150.0,37.0
2100,bottom1B0,Nguyễn Trãi (Nam→vào),31.0,4.917,103.333,4.0
2100,right0B0,Trường Chinh (Đông→vào),14.0,2.513,46.667,12.0
2100,B1B0,Tây Sơn (Tây→vào),8.0,29.045,26.667,0.0
2160,A0B0,Nguyễn Trãi (Bắc→vào),37.0,8.605,123.333,2.0
2160,bottom1B0,Nguyễn Trãi (Nam→vào),47.0,1.089,156.667,45.0
2160,right0B0,Trường Chinh (Đông→vào),4.0,28.57,13.333,0.0
2160,B1B0,Tây Sơn (Tây→vào),19.0,6.105,63.333,14.0
2220,A0B0,Nguyễn Trãi (Bắc→vào),56.0,4.138,186.667,38.0
2220,bottom1B0,Nguyễn Trãi (Nam→vào),46.0,3.102,153.333,14.0
2220,right0B0,Trường Chinh (Đông→vào),15.0,5.716,50.0,12.0
2220,B1B0,Tây Sơn (Tây→vào),5.0,39.534,16.667,0.0
2280,A0B0,Nguyễn Trãi (Bắc→vào),46.0,8.897,153.333,2.0
2280,bottom1B0,Nguyễn Trãi (Nam→vào),62.0,0.369,206.667,49.0
2280,right0B0,Trường Chinh (Đông→vào),3.0,25.354,10.0,0.0
2280,B1B0,Tây Sơn (Tây→vào),18.0,9.704,60.0,12.0
2340,A0B0,Nguyễn Trãi (Bắc→vào),64.0,2.319,213.333,38.0
2340,bottom1B0,Nguyễn Trãi (Nam→vào),54.0,1.783,180.0,20.0
2340,right0B0,Trường Chinh (Đông→vào),14.0,7.383,46.667,9.0
2340,B1B0,Tây Sơn (Tây→vào),4.0,43.435,13.333,0.0
2400,A0B0,Nguyễn Trãi (Bắc→vào),57.0,7.102,190.0,2.0
2400,bottom1B0,Nguyễn Trãi (Nam→vào),63.0,0.388,210.0,51.0
2400,right0B0,Trường Chinh (Đông→vào),3.0,25.466,10.0,0.0
2400,B1B0,Tây Sơn (Tây→vào),17.0,9.416,56.667,11.0
2460,A0B0,Nguyễn Trãi (Bắc→vào),75.0,2.781,250.0,43.0
2460,bottom1B0,Nguyễn Trãi (Nam→vào),49.0,2.813,163.333,19.0
2460,right0B0,Trường Chinh (Đông→vào),14.0,5.333,46.667,10.0
2460,B1B0,Tây Sơn (Tây→vào),7.0,36.014,23.333,0.0
2520,A0B0,Nguyễn Trãi (Bắc→vào),70.0,3.941,233.333,8.0
2520,bottom1B0,Nguyễn Trãi (Nam→vào),66.0,0.575,220.0,51.0
2520,right0B0,Trường Chinh (Đông→vào),2.0,24.312,6.667,0.0
2520,B1B0,Tây Sơn (Tây→vào),17.0,10.663,56.667,12.0
2580,A0B0,Nguyễn Trãi (Bắc→vào),90.0,2.772,300.0,48.0
2580,bottom1B0,Nguyễn Trãi (Nam→vào),56.0,2.798,186.667,17.0
2580,right0B0,Trường Chinh (Đông→vào),14.0,7.236,46.667,11.0
2580,B1B0,Tây Sơn (Tây→vào),6.0,41.518,20.0,0.0
2640,A0B0,Nguyễn Trãi (Bắc→vào),86.0,3.061,286.667,33.0
2640,bottom1B0,Nguyễn Trãi (Nam→vào),68.0,0.544,226.667,53.0
2640,right0B0,Trường Chinh (Đông→vào),3.0,36.377,10.0,0.0
2640,B1B0,Tây Sơn (Tây→vào),17.0,10.12,56.667,9.0
2700,A0B0,Nguyễn Trãi (Bắc→vào),102.0,1.479,340.0,66.0
2700,bottom1B0,Nguyễn Trãi (Nam→vào),59.0,2.579,196.667,15.0
2700,right0B0,Trường Chinh (Đông→vào),13.0,3.036,43.333,9.0
2700,B1B0,Tây Sơn (Tây→vào),6.0,36.625,20.0,0.0
2760,A0B0,Nguyễn Trãi (Bắc→vào),93.0,2.248,310.0,46.0
2760,bottom1B0,Nguyễn Trãi (Nam→vào),75.0,0.37,250.0,64.0
2760,right0B0,Trường Chinh (Đông→vào),1.0,43.811,3.333,0.0
2760,B1B0,Tây Sơn (Tây→vào),11.0,7.733,36.667,8.0
2820,A0B0,Nguyễn Trãi (Bắc→vào),100.0,0.676,333.333,68.0
2820,bottom1B0,Nguyễn Trãi (Nam→vào),61.0,2.242,203.333,15.0
2820,right0B0,Trường Chinh (Đông→vào),4.0,12.268,13.333,3.0
2820,B1B0,Tây Sơn (Tây→vào),4.0,30.561,13.333,0.0
2880,A0B0,Nguyễn Trãi (Bắc→vào),87.0,2.939,290.0,29.0
2880,bottom1B0,Nguyễn Trãi (Nam→vào),73.0,0.46,243.333,61.0
2880,right0B0,Trường Chinh (Đông→vào),1.0,41.03,3.333,0.0
2880,B1B0,Tây Sơn (Tây→vào),7.0,9.023,23.333,6.0
2940,A0B0,Nguyễn Trãi (Bắc→vào),95.0,1.387,316.667,62.0
2940,bottom1B0,Nguyễn Trãi (Nam→vào),43.0,3.753,143.333,17.0
2940,right0B0,Trường Chinh (Đông→vào),4.0,8.015,13.333,4.0
2940,B1B0,Tây Sơn (Tây→vào),2.0,35.267,6.667,0.0
3000,A0B0,Nguyễn Trãi (Bắc→vào),70.0,4.058,233.333,15.0
3000,bottom1B0,Nguyễn Trãi (Nam→vào),66.0,1.095,220.0,50.0
3000,right0B0,Trường Chinh (Đông→vào),1.0,33.72,3.333,0.0
